year,month,day,hour,min,sec,lon,lat,depth,mag
1953,10,7,2,25,35.46,175.07,-40.09,33,3.303
1953,10,7,15,29,49.14,172.72,-39.91,33,3.609
1953,10,7,20,18,6.3,172.64,-41.18,12,3.252
1953,10,15,19,35,18.27,174.81,-40.88,33,3.15
1953,10,18,3,38,6.04,174.03,-38.64,12,5.113
1953,10,20,23,18,7.75,173.09,-40.85,12,3.15
1953,10,21,19,33,32.13,174.05,-40.53,12,4.544
1953,10,22,11,33,24.12,175.14,-39.2,12,3.099
1953,10,26,17,1,17.79,172.46,-41.73,12,4.411
1953,10,27,7,21,8,177.83,-37.64,33,3.779
1953,10,28,12,21,43.53,177.68,-40.3,12,4.863
1953,10,29,20,29,59.04,177.31,-39.34,33,3.372
1953,10,31,15,21,42.01,174.9,-40.15,33,3.303
1953,11,2,16,18,49.13,172.31,-40.97,12,3.278
1953,11,7,9,51,10.38,175.98,-36.27,33,4.374
1953,11,8,8,38,8.9,172.64,-42.18,12,3.023
1953,11,11,0,5,25.69,177.53,-37.15,33,3.456
1953,11,12,17,24,25.45,178.72,-39.8,33,3.507
1953,11,14,13,56,36.73,176.76,-37.97,33,3.575
1953,11,15,1,34,51.87,173.35,-39.04,12,3.201
1953,11,15,8,48,44.22,172.19,-41.35,12,3.732
1953,11,15,10,17,4.04,175.61,-39.56,33,3.099
1953,11,18,21,35,56.81,172.44,-41.11,12,3.372
1953,11,18,21,44,39.65,175.43,-39.69,12,3.048
1953,11,18,22,48,31.39,171.06,-43.17,12,3.762
1953,11,20,21,39,4.11,176.01,-41.21,33,3.201
1953,11,20,23,38,51.91,174.48,-40.65,12,4.058
1953,11,24,21,38,16.02,176.66,-39.57,12,4.003
1953,11,25,4,14,13.2,173.12,-40.44,12,3.609
1953,11,27,20,2,28.43,174.54,-41.19,33,3.337
1953,11,27,21,48,29.82,172.09,-41.34,12,3.405
1953,11,28,19,1,14.62,176.95,-39.93,33,3.133
1953,11,30,0,55,21.04,172.08,-41.22,12,3.201
1953,12,3,1,12,10.63,172.57,-43.25,12,3.686
1953,12,4,20,27,44.9,173.75,-41.04,12,3.066
1953,12,8,15,36,16.4,175,-41.8,33,3
1953,12,9,19,13,15.4,174.01,-40.66,33,3.278
1953,12,10,12,17,44.49,174.23,-41.29,12,3.915
1953,12,10,18,14,30.9,171.18,-42.87,12,3.405
1953,12,11,6,24,26.7,176.86,-40.07,33,3.711
1953,12,12,2,51,30.5,176.17,-41.01,33,3.099
1953,12,12,9,11,3.59,174.04,-41.44,12,4.191
1953,12,14,5,25,28.53,172.7,-42.04,12,3.16
1953,12,15,6,22,46.86,177.02,-37.72,33,3.762
1953,12,16,9,16,0.41,173.52,-39.1,33,3.099
1953,12,19,17,37,41.98,177.4,-39.25,12,3.405
1953,12,20,0,26,4.69,175.11,-40.12,33,3.15
1953,12,20,15,1,49.05,175.86,-39.02,33,3.235
1953,12,20,18,0,58.68,174.31,-40.98,33,3.133
1953,12,21,2,4,59.23,176.24,-40.9,12,3.881
1953,12,21,13,59,51.99,176.88,-40.73,12,3.405
