Year,Mo,Da,Ho,Mi,Se,Lat,Lon,Depth,Mw
2006,11,5,17,14,53.85,39.69,13.819,459.8,4.72
2013,9,2,1,14,13.44,39.5792,15.2467,323.2,4.51
2016,8,4,10,14,17.53,38.7897,14.6518,321.5,3.71
2007,12,1,7,14,22.45,39.978,15.85,280.7,4.66
2016,1,10,12,14,46.6,36.4532,11.9465,79.4,3.51
1970,5,2,6,14,24,42.1,17.8,77,3.8
1980,11,9,17,14,29,38.261,14.333,66,3.73
2018,9,25,13,14,21.98,38.1887,17.2622,41.8,3.62
1965,8,19,19,14,25,46.1,13.1,36,5.24
1972,2,5,15,14,48,43.7,13.4,35,4.36
2008,2,20,21,14,24.83,37.691,14.189,33.9,3.63
1969,6,8,22,14,36,37,14.5,30,3.7
1976,6,8,12,14,38,46.3833,13.3333,29,4.53
1995,9,30,10,14,33.86,41.7903,15.9712,27.6,5.15
2019,12,7,23,14,28.72,41.55,19.46,26,4.43
2000,8,21,17,14,28.39,44.7693,8.4328,24.1,4.94
2011,10,16,20,14,22,43.46,17.52,24,3.64
1978,12,12,15,14,48,46.2667,12.7333,23,4.42
2021,10,28,19,14,49.87,35.4945,13.0062,22.3,3.92
1987,7,27,19,14,32.27,37.02,13.3663,21.1,3.69
1997,2,9,10,14,11.06,38.5632,14.7392,20,3.58
1976,10,27,10,14,56,39.6009,18.8355,19,4.57
1976,11,30,7,14,22,37.8667,14.9167,18,3.64
1983,8,30,13,14,41.74,37.6857,12.7338,17.2,4.1
2009,4,9,3,14,52.26,42.335,13.444,17.1,4.37
1980,3,21,3,14,8,44.1,11.5667,17,3.94
2009,9,24,16,14,57.56,42.452,13.352,16.3,4.19
1980,6,22,19,14,33,43.0167,17.3833,14,4.58
1980,11,28,12,14,27,40.8,15.3,14,4.02
2000,6,18,8,14,23.95,44.693,10.6333,12.2,4.88
1984,5,11,13,14,55.87,41.7327,13.9012,11.4,4.8
2016,11,29,16,14,2.69,42.5293,13.2803,11.1,4.48
2009,7,12,22,14,24.79,42.338,13.392,11.1,3.85
2009,7,3,1,14,7.26,42.319,13.366,11.1,3.64
2013,2,23,19,14,18.76,38.309,14.9948,11.1,3.5
1976,9,12,8,14,48,46.2833,13.1667,11,4.04
2016,10,30,13,14,16.85,42.764,13.0615,10.8,3.55
2016,10,30,7,14,0.68,42.6823,13.2267,10.6,3.91
2017,2,9,8,14,8.67,45.7747,11.1463,10.6,3.74
2016,10,30,14,14,39.06,42.7818,13.0788,10.5,4.05
2009,4,23,15,14,8.31,42.247,13.484,10.3,4.1
2016,10,30,11,14,20.91,42.806,13.1922,10.1,3.78
2012,5,29,7,14,29.28,44.8842,11.1277,10.1,3.63
2019,6,1,9,14,19.11,38.5083,16.1417,10.1,3.59
2017,1,18,12,14,49.28,42.545,13.2745,10.1,3.53
1995,12,29,0,14,14.8,36.3882,13.3032,10,4.66
2021,8,31,4,14,14.8,38.1087,13.8962,10,4.45
1995,12,9,23,14,36.68,44.7063,7.9542,10,4.28
2004,4,17,5,14,14.6,38.724,17.126,10,4.06
1961,5,29,4,14,18,43.8667,11.85,10,3.94
1980,6,14,5,14,16,42.5167,12.7,10,3.88
2008,3,31,0,14,35.65,42.619,18.001,10,3.85
1980,12,2,6,14,59,45.7991,6.2803,10,3.63
2007,9,29,19,14,2.17,37.291,10.283,10,3.53
2012,5,5,22,14,20.12,43.7973,16.7235,10,3.52
2013,1,25,7,14,33.26,47.5903,16.0598,10,3.51
2009,6,26,7,14,30.19,42.563,13.191,9.8,3.52
1984,11,14,18,14,44.26,41.704,13.8767,9.7,3.51
2009,4,6,14,14,39.14,42.359,13.35,9.7,3.51
2017,1,18,10,14,9.9,42.531,13.2838,9.6,5.7
2019,11,26,12,14,13.21,41.4043,19.4698,9.5,4.36
2016,8,31,22,14,9.73,42.7408,13.2335,9.2,3.64
2009,4,13,21,14,24.47,42.498,13.377,9,5.02
2017,1,28,16,14,40.05,42.6197,13.3025,9,3.62
2017,2,9,14,14,41.35,42.6638,12.696,8.5,3.56
2016,10,30,14,14,19.91,42.8997,13.1947,8.4,3.63
2018,12,13,4,14,13.83,37.8122,14.1968,8.4,3.6
1974,1,16,6,14,17,46.1,14.2,8,3.5
2018,5,19,18,14,40.3,40.32,19.78,7.5,4.49
2012,5,29,9,14,8.28,44.8903,11.0277,7.5,3.55
2016,10,30,11,14,51.16,42.9337,13.1867,7.2,3.57
2012,5,29,8,14,20.33,44.848,11.1517,6.4,4.05
1974,12,2,1,14,34,42.8167,12.9,5,3.9
2012,6,27,1,14,20.24,36.9962,15.0582,5,3.83
1970,12,25,2,14,0,41.4,14,5,3.7
2012,5,25,13,14,5.02,44.8688,11.0905,4,3.91
1984,2,29,17,14,3.54,46.3358,13.1802,3.2,3.65
1984,7,14,8,14,43.85,40.8393,14.1118,2.2,3.99
2000,12,6,6,14,20.41,37.5375,14.9878,1,3.78
1983,2,2,8,14,16.02,40.5527,15.6907,0.1,4.35
1997,9,26,4,14,15.56,43.0268,12.8237,0.1,3.96
2001,7,15,0,14,18.79,37.6395,15.0133,0.1,3.88
1993,8,10,1,14,11.45,39.5173,17.1012,0,4.55
1968,4,1,16,14,27,37.75,13.0833,0,4.44
1970,4,26,19,14,40,39.8,17.8,0,4.44
1963,11,29,15,14,39,42.3,13.4,0,4.34
1968,1,29,3,14,47,43.6,13.5,0,4.3
1971,7,23,20,14,1,44.7833,9.85,0,4.24
1974,5,22,18,14,32,43.8667,11.0833,0,4.24
1973,10,30,1,14,2,41.55,13.9,0,4.21
1997,10,12,11,14,14.12,42.9637,13.057,0,4.16
2002,10,29,17,14,52.83,37.699,15.144,0,4.16
1968,1,15,3,14,0,37.7,13.1,0,4.14
1973,11,4,16,14,6,45.9667,9.3,0,4.14
1974,12,4,16,14,46,42.7,13.1,0,4.14
1976,9,3,22,14,51,38.5833,13.55,0,4.14
1976,9,17,4,14,7,46.3833,13.1,0,3.93
1974,3,28,11,14,31,37.7333,15.1333,0,3.84
1978,4,23,7,14,30,44.3,12.9333,0,3.84
1966,3,19,7,14,0,38.6,16.1,0,3.8
1984,5,1,22,14,22.56,43.5512,10.2967,0,3.74
1963,3,23,5,14,51,43,13,0,3.7
1968,9,27,13,14,40,37.9,14.5,0,3.7
1975,4,21,0,14,54,37.9,14.9,0,3.64
1984,7,5,7,14,56.85,41.7642,13.9695,0,3.62
1989,11,4,3,14,34.45,44.241,12.1202,0,3.58
2000,6,3,15,14,14.19,47.0325,10.1998,0,3.56
1972,2,5,2,14,10,43.7,13.4,0,3.54
1972,3,20,0,14,42,43.6667,7.2667,0,3.54
1961,2,21,21,14,0,42.3333,13.75,0,3.5
1974,4,14,7,14,46,45.6,11.8,0,3.5
2010,11,3,18,13,2.98,39.983,13.274,505.6,5.15
1987,5,24,13,13,50.64,39.4072,15.2618,356.1,4.17
2021,3,1,7,13,35.9,39.3545,15.7702,255.1,3.54
1975,12,18,13,13,18,38.8167,15.6167,198,4.14
2006,11,7,11,13,35.64,35.878,18.324,59.8,4.27
2015,11,11,18,13,37.64,43.9107,12.5342,43.4,3.64
1977,9,11,0,13,4,37.7333,15.85,43,3.64
2021,1,17,23,13,40.26,40.5493,15.9307,42.7,3.59
1971,6,16,6,13,2,43.9,12.75,39,4.07
1976,6,2,0,13,25,37.9333,14.0667,37,3.64
1967,10,2,20,13,3,41.55,13.7667,33,4.36
1966,12,24,7,13,58,46.5,13.5,33,3.9
2002,6,8,20,13,7.1,44.2743,10.6177,32.5,4.23
2019,5,21,8,13,33.25,41.2992,16.3003,29.9,3.94
2002,10,27,1,13,35.79,37.8382,15.0282,29.7,4.26
1979,4,9,8,13,11,37.1333,10.1667,26,4.61
1997,7,8,8,13,42.92,39.2448,16.4002,26,4.26
1980,6,1,4,13,36,38.693,14.382,26,3.63
2020,2,3,15,13,47.6,37.7462,14.6515,25.1,3.66
2021,10,17,20,13,29.85,41.8268,19.6955,22,4.41
1976,11,13,1,13,33,46.2667,13.0667,22,3.54
1998,4,12,22,13,47.46,46.3017,13.5893,21.2,3.76
1980,6,7,1,13,12,38.5333,14.2833,21,3.64
1986,12,28,18,13,52.46,44.5305,10.1578,20.6,3.87
2015,12,22,2,13,39.09,37.7692,15.4688,20.4,3.58
1980,11,23,21,13,32,41.067,15.404,20,4.03
1960,2,24,3,13,43,45.75,10.45,20,3.8
2020,4,3,3,13,5.2,39.0803,17.2362,19.7,3.69
2020,8,7,11,13,37.231,36.6539,6.3369,19.5,4.4
1980,11,24,15,13,30,40.8833,14.95,19,4.37
1998,2,3,3,13,58.84,37.7458,14.9472,17.9,3.96
2002,9,21,0,13,29,42.3252,16.545,17.4,4.16
1989,11,24,0,13,43.22,38.5682,14.0673,17.4,3.91
1976,6,26,11,13,46,46.3,13.15,17,4.54
2016,12,6,2,13,49.1,40.5508,15.8238,16.3,3.86
1976,5,17,16,13,15,46.2833,12.9833,16,4.38
1979,8,3,23,13,25,37.35,14.9667,16,3.84
2017,12,14,1,13,45.54,36.4362,14.6468,15.3,3.95
1991,9,27,20,13,24.16,38.5462,14.561,14.1,3.53
2013,4,7,3,13,11.86,44.2598,7.3773,13.9,3.5
2017,7,22,2,13,8.05,42.567,13.3255,13.3,4.25
2016,11,9,6,13,10.71,42.6628,13.1912,11.2,3.98
2016,10,30,7,13,37.93,42.7687,13.2307,11.1,3.6
2021,3,27,14,13,35.14,42.6378,16.2428,11,4.15
2017,2,20,3,13,30.67,42.5013,13.2578,10.8,4.18
2012,7,9,15,13,43.53,41.8713,12.7145,10.8,3.71
2006,12,27,22,13,41.67,41.311,14.209,10.6,3.64
2016,10,30,7,13,5.2,42.6943,13.2248,10.5,4.32
1996,7,15,0,13,31.94,45.8873,6.015,10,5.06
1996,4,25,18,13,2.62,36.3762,12.8367,10,4.6
2004,12,3,8,13,14.9,43.087,15.504,10,4.53
2003,4,29,15,13,6.2,43.254,15.571,10,4.43
2010,6,20,23,13,51.46,43.703,17.113,10,4.38
2020,10,7,22,13,5.91,41.522,19.4677,10,4.19
1961,5,29,4,13,41,44.25,11.5,10,4.16
1977,7,3,12,13,25,44.7847,6.6212,10,4.13
2003,3,27,16,13,37.2,43.179,15.492,10,4.08
1984,11,24,11,13,27.04,39.7145,12.3727,10,3.99
1970,11,19,18,13,3,44.5167,10.45,10,3.94
2007,2,7,23,13,27.51,40.124,19.879,10,3.9
2003,3,29,19,13,44.8,43.237,15.632,10,3.88
2013,11,30,20,13,38.28,42.631,13.2062,10,3.87
2003,4,28,3,13,53.3,43.324,15.551,10,3.62
2010,1,26,6,13,28.79,43.711,16.754,10,3.5
1984,5,12,2,13,31.75,41.6458,13.8875,9.9,3.73
2002,12,24,1,13,0.02,37.7858,15.1135,9.8,3.96
2011,10,29,4,13,34.35,45.712,10.911,9.5,4.06
2012,5,19,23,13,25.62,44.9107,11.2472,9.3,4.19
2016,8,24,2,13,57.32,42.7678,13.1538,9.3,3.67
1996,7,25,13,13,5.68,38.5897,16.0237,9.2,3.59
2015,1,23,17,13,2.01,44.1353,11.1263,9.1,3.61
2011,7,19,7,13,12.2,37.21,19.92,9,5.14
2001,1,5,6,13,40.18,36.758,12.8787,9,3.66
2014,5,21,4,13,33.09,35.6267,14.8803,8.8,3.7
1996,2,27,11,13,45.06,46.3132,12.6065,8.7,4.55
2016,11,1,15,13,43.46,42.9048,13.1682,8.6,3.71
2012,5,29,7,13,42.3,44.8687,10.932,8.4,3.73
2012,6,15,22,13,48.13,44.8523,11.2775,8.3,3.81
2011,6,27,22,13,45.2,38.037,14.735,8.3,3.57
1976,5,30,21,13,13,46.25,13.15,8,3.64
2016,10,30,8,13,4.73,42.8928,13.1535,8,3.59
2016,10,28,2,13,19.32,43.0297,13.1192,7.6,3.61
2012,5,20,9,13,18.49,44.8682,11.2362,7.2,4.33
1972,2,7,9,13,20,43.6167,13.55,7,3.54
2013,6,23,13,13,41.69,44.1575,10.1735,6.8,3.7
1997,9,27,17,13,3.7,43.0107,12.8118,6.7,4.17
1997,10,4,16,13,32.92,42.9162,12.9057,6.2,4.66
1977,7,16,13,13,30,46.2833,14.3,6,4.43
1967,10,2,16,13,36,43.4167,8.0167,6,3.64
2004,3,3,2,13,25.9,39.826,15.197,5,4.55
2004,2,12,9,13,28.8,44.484,12.579,5,3.69
2006,9,25,19,13,12.37,42.144,15.931,5,3.5
1993,2,11,13,13,31.9,38.0547,14.1807,3.8,3.73
2010,5,11,2,13,42.38,45.797,9.718,3.3,3.55
1982,9,30,0,13,7.95,40.8385,15.4293,2.6,4.35
1997,10,1,6,13,26.4,42.9668,12.9148,1.2,3.56
2008,5,13,12,13,42.87,37.787,15.039,1,3.75
1992,5,27,18,13,57.27,44.1948,11.4617,0.1,3.68
1974,2,27,23,13,6,37.5667,15.5,0,4.36
2005,2,12,12,13,45,39.92,19.7,0,4.22
1976,7,17,9,13,37,46.8167,9.5,0,4.12
2001,7,13,3,13,34.81,37.66,15.1005,0,4.06
1974,1,22,20,13,3,37.6833,15.25,0,3.94
1978,2,20,12,13,33,46.45,13.4333,0,3.93
1975,5,20,14,13,55,41,15.45,0,3.9
1982,2,18,4,13,59.72,37.9157,16.0852,0,3.7
1980,6,9,2,13,33,42.2667,13.8833,0,3.61
1987,1,16,1,13,16.32,43.4203,11.9043,0,3.54
1985,1,13,10,13,55.21,43.3488,12.5507,0,3.53
1984,5,12,0,13,35.19,41.5657,13.8825,0,3.51
2017,11,1,23,12,31.28,40.2823,13.5307,468.4,3.78
1984,3,21,1,12,43.4,39.4,15.18,278,5.21
2017,10,14,7,12,21.85,39.0017,15.3922,268.6,3.56
1977,6,28,7,12,45,38.5333,14.6833,262,5.27
1969,10,23,2,12,47,38.5833,15.25,252,4.26
2021,11,17,20,12,12.35,38.6053,15.436,195.6,3.53
2012,8,28,23,12,15.47,38.2052,15.7282,48.9,4.67
1973,4,13,8,12,14,39.1,16.9833,45,4.57
2016,3,6,8,12,36.17,38.1983,16.7427,38.6,4.16
2012,7,4,11,12,9.93,37.4747,16.7988,38.4,4.65
1970,7,30,8,12,12,44.2,8.5,35,3.64
1987,6,28,2,12,53.04,44.1712,6.0442,29.8,3.99
2011,5,6,15,12,35.05,37.79,14.963,28.1,4.3
2001,7,19,13,12,48.27,38.603,14.4242,26.7,3.56
2014,7,21,11,12,28.53,42.1062,15.8903,26.4,3.51
1998,5,13,0,12,3.21,44.5953,10.0528,25.5,3.76
1998,2,8,1,12,35.63,38.1335,15.8285,24.8,3.76
1999,12,4,2,12,7.76,40.7285,18.1428,24,3.58
1988,6,28,2,12,6.77,37.567,14.0533,22.6,3.88
1999,12,18,1,12,51.61,42.8823,17.8827,21.4,3.96
2019,11,26,7,12,31.86,41.5323,19.4898,20,3.95
1997,3,19,8,12,7.64,38.4178,14.8828,18.9,3.78
1997,2,13,11,12,21.9,44.6087,10.6332,17.5,3.96
2014,1,20,7,12,40.01,41.367,14.4518,17.2,4.4
1980,11,25,23,12,27,40.7667,15.2333,17,3.73
1976,4,1,5,12,56,38.35,15.0833,17,3.64
1971,7,18,5,12,5,44.7333,10.5,15,3.54
1976,5,7,20,12,49,46.35,13.0667,15,3.53
2002,7,8,8,12,1.87,40.7118,15.2842,14.6,4.06
1980,12,2,16,12,28,40.8667,15.1,14,4.33
1981,1,9,0,12,48.69,40.638,15.7962,12.8,4.25
2000,10,3,1,12,36.56,44.333,10.6567,11.1,4.22
2017,3,6,20,12,7.35,46.9247,8.9118,11.1,4.2
1979,9,28,18,12,9,42.7667,13.0667,11,3.51
2013,2,12,18,12,43.96,46.3058,12.586,10.5,3.6
2010,8,31,7,12,52.44,42.516,13.226,10.4,3.7
1996,2,20,14,12,0,44.51,17.24,10,4.99
2012,7,27,23,12,22.21,44.2405,18.0015,10,4.66
2004,12,18,9,12,47.8,40.898,10.168,10,4.57
1992,12,21,23,12,21.32,36.9322,11.5672,10,4.35
2006,8,18,10,12,33.8,40.011,19.886,10,4.32
2003,4,27,19,12,38.3,43.26,15.539,10,4.3
2014,3,8,15,12,32,41.48,19.43,10,4.29
2014,9,30,15,12,41,43.06,18.35,10,4.27
1966,6,19,4,12,12,46.1,14.2,10,4.07
2003,4,30,14,12,9.4,43.222,15.495,10,3.86
2007,9,26,21,12,1.62,35.909,11.643,10,3.8
1972,12,24,8,12,8,44.6167,10.0333,10,3.64
1985,8,29,11,12,39.44,44.9545,7.3368,9.9,3.76
2007,9,23,7,12,46.16,38.591,14.792,9.8,3.8
2009,4,6,10,12,35.79,42.317,13.384,9.7,3.82
2009,5,1,5,12,51.59,42.287,13.462,9.6,3.78
1997,4,22,3,12,3.61,41.4018,14.6352,9.1,4.26
1968,12,9,5,12,56,45.7,14.1,9,3.5
2016,8,24,2,12,12.21,42.8068,13.1488,8.9,3.6
2016,8,31,18,12,52.21,42.8218,13.2553,8.6,3.68
2016,10,27,7,12,7.94,42.8717,13.1362,8.6,3.52
2013,6,21,12,12,39.66,44.1625,10.1348,8.1,4.25
2011,6,4,16,12,4.03,43.883,11.984,8,3.68
2011,11,23,14,12,33.59,39.912,16.019,7.5,3.82
2019,6,15,4,12,45.95,46.3967,12.9943,7.5,3.59
2012,5,29,8,12,0.05,44.89,11.0283,7.4,3.64
2015,9,19,7,12,47.05,43.6283,12.3353,7.1,3.91
2012,5,20,10,12,18.51,44.8927,11.1373,6.8,4.02
1997,9,26,8,12,2.85,43.0263,12.829,6.8,3.56
2012,5,20,2,12,40.47,44.87,11.219,6.7,4.4
2009,3,17,1,12,50.51,41.986,14.017,6.7,3.79
2012,5,29,7,12,45.19,44.858,11.1592,6.5,3.94
2005,12,16,20,12,37.78,42.735,12.745,6.5,3.52
2011,10,31,22,12,44.39,45.718,10.944,6.3,3.52
1969,4,17,9,12,28,41.55,13.7667,6,4.68
1981,5,1,11,12,10.88,40.6355,15.4305,5.5,4.05
2002,2,21,2,12,53.41,37.4402,15.1932,5.4,3.86
1993,8,6,9,12,1.91,42.981,13.2027,5.2,3.68
1979,6,25,14,12,23,42.1,18.8833,5,4.49
2002,10,27,11,12,56.01,37.8068,15.1677,4.9,3.76
1978,8,5,18,12,44,42.6333,12.4167,4,4.78
1997,10,13,21,12,56.67,42.9477,12.8533,2.2,3.66
1994,2,2,10,12,12.51,44.1842,12.3113,0.7,3.73
1991,5,30,0,12,30.98,43.2112,11.0537,0.6,3.55
1997,10,12,11,12,29.9,42.9203,12.9217,0.5,4.46
1997,10,12,18,12,4.64,42.8948,12.9282,0.1,3.96
1981,4,5,10,12,44.98,38.3432,14.9207,0,4.7
1981,9,21,16,12,29.76,40.6788,15.7172,0,4.55
1974,2,8,20,12,18,44.2167,6.55,0,4.44
1987,7,5,13,12,36.17,43.6697,12.1985,0,4.44
1981,1,15,11,12,42.56,40.8007,15.507,0,4.35
1961,11,23,1,12,5,45.7167,9.5667,0,4.3
1966,10,14,21,12,13,41.6,13.6,0,4.3
1965,9,12,5,12,2,44.4,9.7,0,4.16
1964,4,21,23,12,50,43.6,10.8,0,3.97
1963,7,19,13,12,3,43.4,8.2,0,3.94
1965,3,15,21,12,43,44.5,8.9,0,3.94
1971,6,27,18,12,10,44.8333,9.5333,0,3.84
1971,12,5,7,12,3,44.8,11.1667,0,3.84
1975,7,14,1,12,27,42.8409,13.9971,0,3.76
1997,9,26,14,12,27.08,43.1338,12.814,0,3.76
1974,11,6,7,12,8,44.7167,10.5667,0,3.74
1962,9,5,12,12,0,38.2,15.3,0,3.7
1962,11,12,2,12,22,43.4,12.5,0,3.7
1984,6,9,2,12,18.73,43.2318,12.6378,0,3.61
1968,1,24,7,12,0,37.8,13,0,3.54
1973,12,10,11,12,22,42.65,11.8667,0,3.54
1980,11,26,10,12,44,40.6333,15.8167,0,3.54
1993,2,1,5,12,3.64,44.9838,15.2535,0,3.53
1994,4,5,22,12,58.72,39.4172,16.9227,0,3.53
1976,3,16,21,12,6,46.1,14.3,0,3.5
1977,1,31,7,11,1,44.0333,15.0667,110,3.64
1984,10,25,1,11,48.55,37.4912,15.245,84.5,4.44
1980,11,24,7,11,35,40.8604,15.4589,78,3.73
1983,6,3,11,11,25.17,37.4668,15.1382,72.8,4.06
2016,1,10,14,11,11.17,36.4075,12.0347,50,3.52
1999,6,30,19,11,58.89,45.3695,12.0172,34,3.66
2002,6,19,22,11,15.57,44.4135,10.6812,31.9,4.03
1980,4,23,11,11,25,40.4667,13.4667,29,4.21
1999,1,18,20,11,20.01,41.7237,15.912,28.3,3.76
1999,7,10,15,11,53.42,38.1765,15.0632,28.1,3.58
2017,3,26,6,11,33.08,38.6932,12.9983,27.1,3.5
2011,4,4,13,11,51.01,41.692,14.899,26.4,3.58
2019,10,7,6,11,32.71,38.8933,16.4492,24.7,4.19
2002,12,8,19,11,0.47,38.389,13.6998,22.8,4.18
2005,4,23,19,11,41.69,39.458,16.826,19.1,4.25
1981,7,10,16,11,29.91,44.0858,11.2137,16.8,3.65
1976,9,15,11,11,10,46.2833,13.1667,16,4.83
2016,11,23,21,11,17.45,42.7137,13.2708,14.2,3.86
1992,5,28,14,11,39.53,44.1188,11.457,14,3.54
1984,3,9,18,11,29.93,40.846,14.0703,13.9,3.5
2017,1,18,15,11,38.87,42.4888,13.3013,13.3,3.74
1997,2,4,0,11,48.31,37.6593,15.0168,13.1,3.58
1977,10,14,20,11,55,46.3,12.9667,12,3.58
2013,5,4,5,11,6.3,44.8693,11.5212,11.1,3.86
2012,5,20,2,11,45.55,44.8603,11.3412,10.9,4.4
2007,2,11,17,11,53.99,35.242,16.067,10.5,4.04
2000,12,5,13,11,8.08,38.6548,14.0248,10.5,3.58
2019,8,14,18,11,4.44,42.6398,13.179,10.2,3.51
2019,11,2,14,11,34.5,44.38,17.54,10,4.89
1995,12,28,22,11,2.52,36.7147,13.4063,10,4.28
2003,4,3,21,11,5,43.168,15.446,10,3.77
1971,7,23,4,11,55,41.3667,14.1,10,3.74
2009,12,24,9,11,54.91,43.675,17.255,10,3.71
1979,3,16,10,11,7,42.9333,12.8333,10,3.61
1990,1,26,3,11,2.85,35.359,15.188,10,3.58
1982,10,17,7,11,31.77,42.8365,13.063,10,3.55
2016,10,8,18,11,9.67,42.7383,13.1853,9.5,4.1
2012,5,22,6,11,15.28,44.8585,11.0703,9,3.8
2009,12,15,13,11,58.98,43.007,12.271,8.8,4.22
2018,4,10,3,11,30.76,43.0687,13.0365,8.1,4.73
2016,11,5,19,11,58.98,42.9562,13.2042,7.8,3.57
2012,5,29,7,11,22.35,44.853,11.1122,7.7,3.73
1986,7,6,10,11,30.88,41.0117,15.166,6.6,3.54
2021,7,1,11,11,49.68,46.6093,8.3585,6.5,3.75
2018,7,7,7,11,45.7,37.8488,13.9762,6.3,3.78
2011,10,20,6,11,18.86,44.521,9.393,5.1,4.08
1972,1,17,12,11,7,44.2333,8.2167,5,4.14
2003,6,30,10,11,10,42.265,13.232,5,3.92
2013,5,15,17,11,45,41.39,19.55,5,3.54
1998,6,2,23,11,23,43.1855,12.7857,3.3,4.25
1997,10,9,18,11,30.78,42.9005,12.8863,2.9,3.86
2000,10,6,18,11,39.62,40.3377,17.988,2.6,3.98
1997,12,19,10,11,47.02,43.0058,12.8617,2.4,3.56
1997,9,26,11,11,49.15,43.132,12.7892,2.3,3.76
1997,10,16,0,11,45.42,42.8825,12.9983,1.8,3.86
2016,8,24,3,11,47.48,42.6427,13.23,1.7,3.53
2006,10,20,0,11,58.13,45.716,10.339,1.5,3.71
1975,6,19,10,11,13,41.65,15.7333,0,5.08
1976,11,25,4,11,14,42.75,17.2833,0,4.83
1980,12,24,12,11,22,37.109,12.8698,0,4.39
1974,1,21,20,11,35,37.7333,14.9,0,4.34
1976,7,10,4,11,24,46.2667,13.2167,0,4.26
1970,4,27,10,11,30,37,17.9,0,4.16
1968,7,17,19,11,10,38.7,16.2,0,4
1966,11,2,20,11,48,40.8333,15.5,0,3.94
1992,5,8,2,11,30.41,40.6495,15.864,0,3.86
1969,4,7,22,11,0,37.8,12.4,0,3.84
1963,6,27,0,11,41,44.9,6.6,0,3.8
1963,8,2,20,11,56,43.3,8.2,0,3.74
1968,1,16,1,11,24,37.8,13,0,3.74
1968,1,16,12,11,40,37.8,13,0,3.74
1961,3,3,21,11,0,43.2333,12.7833,0,3.7
1973,4,23,23,11,8,37.5667,15.0333,0,3.7
2000,8,17,6,11,22.57,44.7535,10.6507,0,3.68
1981,11,16,18,11,19.49,40.4932,15.3443,0,3.65
2002,10,27,1,11,27.02,37.7035,15.1052,0,3.56
1973,1,12,11,11,10,45.7,11.1,0,3.54
1968,4,21,21,10,14,40,14.9,330,4.44
2017,10,18,13,10,55.96,39.7998,15.6328,280.2,3.81
2012,10,16,15,10,57.75,39.6702,15.7417,275.5,4.8
2015,10,1,9,10,3.69,39.1642,15.3718,268.8,3.51
2020,1,3,11,10,50.48,38.4557,15.4343,143.7,4.02
1988,4,26,19,10,15.85,42.3048,16.6893,71.4,3.89
1984,4,15,3,10,41.5,37.1848,15.5682,68.5,4.21
1986,1,11,15,10,1.61,42.3133,15.2372,68.3,3.65
2012,4,18,10,10,41.39,39.083,16.053,53.3,3.51
1978,4,16,3,10,29,38.5,14.95,50,3.84
1973,7,3,16,10,8,44.1,13.3,47,4.06
1986,2,2,16,10,3.03,37.2402,15.4783,39.5,3.76
1968,1,16,13,10,32,37.8,12.9,34,4.57
2009,11,7,7,10,5.56,37.634,13.851,34,4.24
1977,3,2,17,10,42,43.3333,8.4333,33,3.64
1979,3,23,7,10,2,44.3333,9.9333,31,3.64
2009,7,23,0,10,42.55,37.604,14.751,26.4,3.59
2012,11,22,9,10,41.53,37.8012,14.9603,24.4,4.1
2002,9,27,6,10,45.93,38.376,13.6853,24.2,5.1
1977,8,15,21,10,29,38.6,17.1333,24,5.21
1987,5,8,11,10,27.88,44.8617,11.1572,23.7,4.44
1990,2,18,20,10,52.15,42.052,16.5193,23,4.24
1978,4,2,20,10,18,42.2364,9.5107,23,4.13
1999,2,14,15,10,32.76,38.2203,15.0245,21.4,3.88
1979,6,4,10,10,33,41.8333,15.35,21,4.07
2005,11,8,21,10,26.55,44.154,12.247,19.9,3.72
1998,7,18,11,10,52,37.741,14.7,19.9,3.66
2006,8,9,2,10,1.2,40.11,19.59,19,4.16
2011,4,26,4,10,28.36,35.759,14.973,18.3,3.58
1976,5,1,5,10,22,37.85,15.0333,17,4.46
1978,2,8,4,10,29,41.1333,14.9,17,4.29
2016,5,25,22,10,27.8,36.8023,15.8007,15.2,4.05
1985,8,19,1,10,25.24,41.8932,15.6725,15,3.54
1976,5,8,3,10,2,46.3333,13.1833,13,4.15
1971,1,6,11,10,58,45.0167,9.3667,13,3.84
2016,11,3,13,10,45.66,42.6875,13.1698,12.9,3.83
1995,3,10,8,10,3.29,41.8182,12.5137,12.6,3.65
2005,7,10,13,10,10.9,42.279,19.974,12.5,5.15
1997,6,9,14,10,56.89,38.6048,16.1777,11.6,4.26
1999,7,13,20,10,11.12,39.4408,16.3267,11.6,3.68
2016,10,30,7,10,6.38,42.8043,13.1048,10.5,3.8
2004,10,22,21,10,13.9,38.081,15.304,10.4,3.62
1997,1,12,12,10,51.2,40.96,19.67,10,4.84
2003,3,27,16,10,38.2,43.095,15.419,10,4.82
2006,9,2,9,10,46.96,40.015,19.934,10,4.68
1999,11,24,21,10,49.4,40.27,19.76,10,4.33
1988,4,26,1,10,11.89,41.3917,18.163,10,4.17
1972,6,25,17,10,49,44.6,10.2,10,4.06
1991,1,9,13,10,47.89,42.224,16.6567,10,3.98
1984,5,13,3,10,22.4,41.6407,13.8562,10,3.84
1988,6,3,7,10,31.74,42.2675,16.6588,10,3.66
2010,10,27,11,10,14.08,37.364,12.236,10,3.6
1986,7,5,4,10,33.1,37.6473,15.0135,10,3.54
2011,7,25,7,10,43.01,35.336,15.917,10,3.5
