Year,Mo,Da,Ho,Mi,Se,Lat,Lon,Depth,Mw
2016,11,11,0,36,55.99,42.7888,13.1223,10.7,3.55
2003,3,31,19,36,29.1,43.127,15.466,10,4.47
2007,11,24,3,36,4.5,44.07,18.2,10,4.05
1987,4,11,1,36,56.23,41.5128,12.4743,10,3.99
1992,2,3,20,36,26.65,36.7435,15.7313,10,3.99
2006,6,9,21,36,36.17,43.242,18.833,10,3.9
1992,5,30,19,36,8.48,39.0118,17.2652,10,3.77
2021,1,17,20,36,41.08,45.4032,16.2062,10,3.64
2007,10,15,17,36,44.77,35.207,15.612,10,3.59
1991,1,6,4,36,31.93,39.4125,15.3425,10,3.51
2004,5,29,12,36,0.6,38.537,14.634,9.9,3.62
2009,4,6,10,36,18.1,42.338,13.402,9.9,3.6
