y,month,d,h,minute,s,lon,lat,depth,mw
2009,5,7,22,21,27.421,177.662,-36.0568,318.03,3.6513
1956,4,16,2,19,39.03,177.51,-37.64,318,4.0694
1975,3,26,12,38,7.99,178.46,-35.05,318,4.1968
2001,7,8,22,9,10.649,176.7388,-36.7593,317.62,3.5245
1986,7,9,12,40,4.05,176.92,-36.74,317,3.623
1966,7,24,10,49,43.47,176.38,-37.6,317,4.3593
1977,3,22,2,23,21.82,178.11,-34.23,317,6
1995,11,20,7,45,40.111,178.6329,-33.0585,316.3961,3.7397
1953,6,16,6,2,6.41,175.9,-37.74,316,3.5132
1947,5,11,7,50,42.79,179.3,-34.24,316,5.2367
1969,10,29,12,5,6.9,176.87,-37.03,315,4.0612
1965,8,24,5,17,47.92,176.56,-37.36,315,4.4263
1953,5,26,1,18,26.59,176.31,-37.76,315,4.4844
1990,1,11,12,38,6.557,176.3748,-37.6975,314.2829,4.066
2002,7,7,13,27,9.046,175.8507,-37.6373,314.1,3.5629
1977,4,22,11,20,18.16,176.14,-37.7,314,3.6414
1953,10,30,2,22,8.58,177.32,-37.62,314,3.7219
1971,5,30,2,8,50.54,176.31,-37.72,314,4.034
1957,2,9,13,29,19.5,180.49,-34.25,314,5.9528
1976,3,10,12,48,10.03,176.42,-37.6,313,3.6672
1985,1,10,15,4,28.56,178.16,-35.78,313,3.6733
2007,4,28,23,32,3.397,176.7513,-36.7282,312.5,3.7414
2020,4,20,9,27,34.649,180.6629,-32.3002,312.3791,3.9671
2004,3,3,18,37,43.115,177.6635,-36.0992,312.34,3.6759
2020,11,26,18,33,35.061,180.0834,-33.2264,312.2321,3.688
1999,6,7,4,50,41.324,179.7273,-35.5931,312.1956,3.51
1962,1,11,16,24,33.51,176.4,-37.11,312,3.5401
2017,10,2,11,50,5.81,176.7518,-37.1531,311.9979,4.2774
1998,10,20,20,11,0.616,178.9006,-35.1862,311.7686,4.1841
2019,1,22,19,5,56.459,180.3387,-32.3775,311.7422,4.0835
2014,3,13,2,48,29.049,175.9143,-37.7982,311.741,4.0679
2009,8,17,19,16,47.591,175.96,-37.649,311.34,4.189
2015,3,10,11,18,55.206,180.3531,-32.4919,311.1709,3.9824
1976,7,22,5,42,29.38,179.5,-35.82,311,3.569
1985,12,18,6,3,50.07,176.48,-37.75,311,3.9208
1977,5,3,16,14,52.46,176.2,-37.82,311,4.1319
1988,4,17,18,24,20.262,176.2871,-37.7488,310.9901,4.0014
2006,9,23,9,7,29.125,178.6151,-34.993,310.3315,4.1131
1953,8,8,13,35,48.78,176.09,-37.98,310,3.9864
2004,3,12,9,13,3.733,175.7265,-37.8618,309.51,3.8043
2020,11,3,0,49,26.358,180.713,-32.3822,309.4492,4.5857
2012,7,11,21,12,15.829,179.8166,-32.3815,309.4325,3.7376
2003,10,5,10,50,24.493,175.7843,-37.7185,309.41,4.5662
2001,8,11,15,2,50.787,175.706,-37.7667,309.15,3.8032
2020,1,4,7,18,19.657,176.9446,-36.7399,309.0536,5
1967,10,20,18,18,54.57,176.37,-37.75,309,3.5492
1969,1,12,1,13,4.64,176.86,-37,309,3.5533
1980,11,11,9,26,56.98,178.37,-35.21,309,4.1632
1950,1,9,13,9,50.61,176.83,-37.36,309,4.1928
1961,2,3,12,33,29.5,175.97,-37.66,309,5.1987
1999,8,29,21,43,23.656,176.6802,-37.1648,308.6429,4.0315
2012,5,23,0,25,53.361,175.9039,-37.8107,308.532,3.734
2013,5,29,10,9,39.604,179.7532,-32.8751,308.1631,3.5677
1970,7,27,10,38,28.19,178.53,-35.89,308,3.5271
1982,12,23,11,31,49.21,176.41,-37.48,308,3.57
1966,9,15,12,28,35.82,176.17,-37.92,308,3.5832
1986,5,19,7,32,51.89,177.08,-37.14,308,3.777
2020,2,7,13,21,57.117,180.7039,-32.4047,307.7005,3.6065
1954,5,10,16,21,44.51,176.05,-37.88,307,3.9936
1976,4,21,1,17,22,176.59,-37.86,307,4.121
2019,12,23,4,4,23.18,179.761,-32.2289,306.1271,4.5362
1955,10,12,23,5,10.16,178.94,-35.4,306,4.2509
2015,11,26,10,51,11.995,180.407,-33.3953,305.5315,3.524
2019,8,27,12,46,47.404,180.4166,-32.227,305.4749,3.5107
1990,1,3,21,52,38.771,176.4083,-37.7594,305.3148,4.2168
1989,6,25,19,50,7.068,176.2569,-37.5369,305.2448,4.1793
1967,11,11,11,10,10.73,176.22,-37.76,305,3.5588
1968,12,17,0,28,3.47,177.47,-36.8,305,3.5649
1966,7,1,15,9,15.46,175.91,-37.93,305,3.7688
1968,11,1,13,46,18.67,176.86,-37.09,305,5.0167
2006,6,15,15,12,51.557,176.8408,-36.7325,303.92,3.905
1997,6,20,19,21,38.618,177.0849,-36.6985,303.8559,3.5074
2015,4,11,5,8,32.362,180.1926,-32.2492,303.2773,4.0804
2019,4,17,5,3,44.97,180.912,-32.1812,303.1819,4.611
2003,6,10,8,1,49.564,175.6253,-37.9187,303.16,3.7728
1971,7,11,13,43,20.75,176.31,-37.71,303,3.5615
1976,10,12,6,2,22.28,176.29,-37.63,303,3.5615
1984,4,29,16,12,51.59,177.5,-36.5,303,3.6563
1971,4,25,16,26,2,176.8,-36.83,303,3.8858
1962,3,4,20,10,59.01,176.05,-37.69,303,4.0367
2012,1,2,9,0,26.168,179.8155,-32.2956,302.8826,3.6576
2011,10,5,9,57,44.163,176.304,-37.5546,302.8274,4.6
1988,11,22,11,49,55.576,176.1461,-37.7069,302.7516,3.5325
2005,12,25,6,14,51.495,175.9443,-37.6545,302.42,3.5499
2002,4,11,7,17,8.71,175.8842,-37.72,302.38,4.129
