target_id,latitude,longitude,time,magnitude,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1
1447,-41.869,174.4628,2014-06-18 23:04:11.640,4.3,3.5,0.0,1.5264226889076911e-07,0.8343381560796024,0.16566184392039754,1.0
1448,-40.6535,175.8737,2014-06-25 19:46:26.307,4.6000000000000005,3.5,0.0,1.5264226889076911e-07,0.9980606887386397,0.0019393112613603066,1.0
1449,-37.5668,178.6789,2014-07-06 04:54:09.176,4.1000000000000005,3.5,0.0,1.5264226889076911e-07,0.014755621529810515,0.9852443784701895,1.0
1450,-46.2558,166.219,2014-07-20 05:10:52.702,3.7,3.5,0.0,1.5264226889076911e-07,0.8307345576719362,0.1692654423280638,1.0
1451,-39.9455,176.5986,2014-07-24 12:15:20.492,3.7,3.5,0.0,1.5264226889076911e-07,0.9972759418468237,0.002724058153176406,1.0
1452,-39.4746,177.2139,2014-07-26 07:57:13.864,3.6,3.5,0.0,1.5264226889076911e-07,0.7565613264234727,0.24343867357652726,1.0
1453,-46.4135,166.2504,2014-08-06 23:03:51.968,3.6,3.5,0.0,1.5264226889076911e-07,0.9313663433363941,0.06863365666360598,1.0
1454,-40.3164,176.4267,2014-08-07 14:30:04.802,4.0,3.5,0.0,1.5264226889076911e-07,0.5213236320019122,0.4786763679980877,1.0
1455,-43.2442,171.9366,2014-08-08 20:06:45.413,3.6,3.5,0.0,1.5264226889076911e-07,0.8107814520869359,0.18921854791306425,1.0
1456,-40.3441,176.6721,2014-08-14 20:37:19.043,3.6,3.5,0.0,1.5264226889076911e-07,0.9868799198558432,0.013120080144156736,1.0
1457,-40.6335,175.9108,2014-09-05 23:01:31.036,3.6,3.5,0.0,1.5264226889076911e-07,0.9967114525503384,0.00328854744966147,1.0
1458,-43.1595,170.8315,2014-09-08 12:28:29.453,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.17617854922502185,0.8238214507749781,1.0
1459,-43.1518,172.7849,2014-09-12 00:18:11.295,4.1000000000000005,3.5,0.0,1.5264226889076911e-07,0.24043852718710135,0.7595614728128987,1.0
1460,-45.567,166.4768,2014-09-13 08:11:10.751,4.1000000000000005,3.5,0.0,1.5264226889076911e-07,0.7541984726777762,0.24580152732222385,1.0
1461,-45.5557,166.4398,2014-09-13 17:30:37.406,4.0,3.5,0.0,1.5264226889076911e-07,0.9998746514534697,0.0001253485465302607,1.0
1462,-40.0723,174.8413,2014-09-16 19:28:42.162,3.7,3.5,0.0,1.5264226889076911e-07,0.8612093846896886,0.13879061531031156,1.0
1463,-40.5271,175.951,2014-09-22 12:06:46.213,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.9411552392869773,0.0588447607130226,1.0
1464,-40.5405,175.9324,2014-09-22 14:41:22.945,5.5,3.5,0.0,1.5264226889076911e-07,0.9999757790375805,2.4220962419449916e-05,1.0
1465,-40.4984,175.939,2014-09-22 14:41:38.018,5.0,3.5,0.0,1.5264226889076911e-07,0.9999994293819124,5.706180877517415e-07,1.0
1466,-40.5353,175.9639,2014-09-23 03:24:12.606,3.6,3.5,0.0,1.5264226889076911e-07,0.9999780402806666,2.1959719333497398e-05,1.0
1467,-43.2505,172.1428,2014-09-30 15:29:54.992,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.5840107237924951,0.41598927620750487,1.0
1468,-38.6865,177.1522,2014-09-30 23:00:29.913,3.5,3.5,0.0,1.5264226889076911e-07,0.03051012053780992,0.9694898794621901,1.0
1469,-38.8274,177.9876,2014-10-02 19:33:16.670,4.7,3.5,0.0,1.5264226889076911e-07,0.34643444907172766,0.6535655509282724,1.0
1470,-46.4541,166.1488,2014-10-03 00:26:50.603,3.6,3.5,0.0,1.5264226889076911e-07,0.9246934551868063,0.07530654481319353,1.0
1471,-40.3518,176.8269,2014-10-06 21:51:08.634,4.5,3.5,0.0,1.5264226889076911e-07,0.7003147440523535,0.2996852559476465,1.0
1472,-40.3554,176.8215,2014-10-07 01:16:34.324,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.9999907818669156,9.218133084505968e-06,1.0
1473,-40.5971,175.9323,2014-10-07 08:21:32.901,3.5,3.5,0.0,1.5264226889076911e-07,0.9981826475665198,0.0018173524334801957,1.0
1474,-46.2895,165.8666,2014-10-13 05:13:41.573,5.800000000000001,3.5,0.0,1.5264226889076911e-07,0.9032257795582531,0.09677422044174683,1.0
1475,-46.2413,166.0728,2014-10-13 05:26:33.633,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.9999746790254992,2.5320974500863676e-05,1.0
1476,-46.2349,166.1543,2014-10-13 06:23:39.176,4.7,3.5,0.0,1.5264226889076911e-07,0.9999044669401835,9.553305981627939e-05,1.0
1477,-46.3458,165.9043,2014-10-13 12:59:37.503,3.5,3.5,0.0,1.5264226889076911e-07,0.9999370148296179,6.298517038209328e-05,1.0
1478,-45.7909,170.1378,2014-10-16 05:44:03.751,3.7,3.5,0.0,1.5264226889076911e-07,0.0044387732740647405,0.9955612267259353,1.0
1479,-46.2524,166.2172,2014-10-21 20:39:06.597,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.9974008526202506,0.0025991473797493444,1.0
1480,-43.2824,170.8096,2014-10-22 04:29:54.306,3.5,3.5,0.0,1.5264226889076911e-07,0.33292423525236614,0.6670757647476337,1.0
1481,-43.2806,170.8163,2014-10-22 04:30:14.159,3.9000000000000004,3.5,0.0,1.5264226889076911e-07,0.9999996336465822,3.663534178416799e-07,1.0
1482,-40.6521,175.873,2014-10-27 23:44:47.978,4.3,3.5,0.0,1.5264226889076911e-07,0.9975395226603518,0.0024604773396479517,1.0
1483,-38.7017,178.7373,2014-10-29 04:37:54.542,3.5,3.5,0.0,1.5264226889076911e-07,0.06942449829557629,0.9305755017044237,1.0
1484,-41.6786,174.1261,2014-10-29 22:05:09.100,3.6,3.5,0.0,1.5264226889076911e-07,0.9953722138119215,0.004627786188078485,1.0
